"Date","Month","Year","Power"
2020-02-01,2,2020,804
2020-03-01,3,2020,1746
2020-04-01,4,2020,1719
2020-05-01,5,2020,1195
2020-06-01,6,2020,1713
2020-07-01,7,2020,1654
2020-08-01,8,2020,1832
2020-09-01,9,2020,1451
2020-10-01,10,2020,1720
2020-11-01,11,2020,1693
2020-12-01,12,2020,1577
2021-01-01,1,2021,1466
2021-02-01,2,2021,1408
2021-03-01,3,2021,1812
2021-04-01,4,2021,1730
2021-05-01,5,2021,1432
2021-06-01,6,2021,1259
2021-07-01,7,2021,1270
2021-08-01,8,2021,1063
2021-09-01,9,2021,894
2021-10-01,10,2021,837
2021-11-01,11,2021,659
2021-12-01,12,2021,711
2022-01-01,1,2022,1189
